Home Type,Home Size,Number of Occupants,Energy Type,Monthly Electricity Bill,CO2 Emissions (kg)
Condo/Apartment,1000-2000 sq. ft.,2 Occupants,Oil,$50-$100,0
Condo/Apartment,1000-2000 sq. ft.,2 Occupants,Propane,$50-$100,3400
Condo/Apartment,1000-2000 sq. ft.,2 Occupants,Wood,$50-$100,2500
Condo/Apartment,1000-2000 sq. ft.,2 Occupants,Natural Gas,$100-$150,3300
Condo/Apartment,1000-2000 sq. ft.,2 Occupants,Electricity,$100-$150,1450
Condo/Apartment,1000-2000 sq. ft.,2 Occupants,Oil,$100-$150,0
Condo/Apartment,1000-2000 sq. ft.,2 Occupants,Propane,$100-$150,4600
Condo/Apartment,1000-2000 sq. ft.,2 Occupants,Wood,$100-$150,3500
Condo/Apartment,1000-2000 sq. ft.,2 Occupants,Natural Gas,$150-$200,4700
Condo/Apartment,1000-2000 sq. ft.,2 Occupants,Electricity,$150-$200,2300
Condo/Apartment,1000-2000 sq. ft.,2 Occupants,Oil,$150-$200,0
Condo/Apartment,1000-2000 sq. ft.,2 Occupants,Propane,$150-$200,4950
Condo/Apartment,1000-2000 sq. ft.,2 Occupants,Wood,$150-$200,3300
Condo/Apartment,1000-2000 sq. ft.,2 Occupants,Natural Gas,Over $200,7550
Condo/Apartment,1000-2000 sq. ft.,2 Occupants,Electricity,Over $200,2500
Condo/Apartment,1000-2000 sq. ft.,2 Occupants,Oil,Over $200,0
Condo/Apartment,1000-2000 sq. ft.,2 Occupants,Propane,Over $200,6300
Condo/Apartment,1000-2000 sq. ft.,2 Occupants,Wood,Over $200,4200
Condo/Apartment,1000-2000 sq. ft.,3-4 Occupants,Natural Gas,Under $50,2540
Condo/Apartment,1000-2000 sq. ft.,3-4 Occupants,Electricity,Under $50,500
Condo/Apartment,1000-2000 sq. ft.,3-4 Occupants,Oil,Under $50,0
Condo/Apartment,1000-2000 sq. ft.,3-4 Occupants,Propane,Under $50,2100
Condo/Apartment,1000-2000 sq. ft.,3-4 Occupants,Wood,Under $50,2500
Condo/Apartment,1000-2000 sq. ft.,3-4 Occupants,Natural Gas,$50-$100,3110
Condo/Apartment,1000-2000 sq. ft.,3-4 Occupants,Electricity,$50-$100,780
Condo/Apartment,1000-2000 sq. ft.,3-4 Occupants,Oil,$50-$100,0
Condo/Apartment,1000-2000 sq. ft.,3-4 Occupants,Propane,$50-$100,3800
Condo/Apartment,1000-2000 sq. ft.,3-4 Occupants,Wood,$50-$100,2900
Condo/Apartment,1000-2000 sq. ft.,3-4 Occupants,Natural Gas,$100-$150,3500
Condo/Apartment,1000-2000 sq. ft.,3-4 Occupants,Electricity,$100-$150,1750
Condo/Apartment,1000-2000 sq. ft.,3-4 Occupants,Oil,$100-$150,0
Condo/Apartment,1000-2000 sq. ft.,3-4 Occupants,Propane,$100-$150,5000
Condo/Apartment,1000-2000 sq. ft.,3-4 Occupants,Wood,$100-$150,3600
Condo/Apartment,1000-2000 sq. ft.,3-4 Occupants,Natural Gas,$150-$200,5200
Condo/Apartment,1000-2000 sq. ft.,3-4 Occupants,Electricity,$150-$200,2700
Condo/Apartment,1000-2000 sq. ft.,3-4 Occupants,Oil,$150-$200,0
Condo/Apartment,1000-2000 sq. ft.,3-4 Occupants,Propane,$150-$200,5350
Condo/Apartment,1000-2000 sq. ft.,3-4 Occupants,Wood,$150-$200,3700
Condo/Apartment,1000-2000 sq. ft.,3-4 Occupants,Natural Gas,Over $200,8200
Condo/Apartment,1000-2000 sq. ft.,3-4 Occupants,Electricity,Over $200,2700
Condo/Apartment,1000-2000 sq. ft.,3-4 Occupants,Oil,Over $200,0
Condo/Apartment,1000-2000 sq. ft.,3-4 Occupants,Propane,Over $200,7000
Condo/Apartment,1000-2000 sq. ft.,3-4 Occupants,Wood,Over $200,4500
Condo/Apartment,1000-2000 sq. ft.,5 Occupants,Natural Gas,Under $50,3010
Condo/Apartment,1000-2000 sq. ft.,5 Occupants,Electricity,Under $50,620
Condo/Apartment,1000-2000 sq. ft.,5 Occupants,Oil,Under $50,0
Condo/Apartment,1000-2000 sq. ft.,5 Occupants,Propane,Under $50,2300
Condo/Apartment,1000-2000 sq. ft.,5 Occupants,Wood,Under $50,2700
Condo/Apartment,1000-2000 sq. ft.,5 Occupants,Natural Gas,$50-$100,3320
Condo/Apartment,1000-2000 sq. ft.,5 Occupants,Electricity,$50-$100,900
Condo/Apartment,1000-2000 sq. ft.,5 Occupants,Oil,$50-$100,0
Condo/Apartment,1000-2000 sq. ft.,5 Occupants,Propane,$50-$100,4200
Condo/Apartment,1000-2000 sq. ft.,5 Occupants,Wood,$50-$100,3300
Condo/Apartment,1000-2000 sq. ft.,5 Occupants,Natural Gas,$100-$150,3900
Condo/Apartment,1000-2000 sq. ft.,5 Occupants,Electricity,$100-$150,2100
Condo/Apartment,1000-2000 sq. ft.,5 Occupants,Oil,$100-$150,0
Condo/Apartment,1000-2000 sq. ft.,5 Occupants,Propane,$100-$150,5400
Condo/Apartment,1000-2000 sq. ft.,5 Occupants,Wood,$100-$150,4000
Condo/Apartment,1000-2000 sq. ft.,5 Occupants,Natural Gas,$150-$200,5900
Condo/Apartment,1000-2000 sq. ft.,5 Occupants,Electricity,$150-$200,3000
Condo/Apartment,1000-2000 sq. ft.,5 Occupants,Oil,$150-$200,0
Condo/Apartment,1000-2000 sq. ft.,5 Occupants,Propane,$150-$200,5650
Condo/Apartment,1000-2000 sq. ft.,5 Occupants,Wood,$150-$200,4100
Condo/Apartment,1000-2000 sq. ft.,5 Occupants,Natural Gas,Over $200,10500
Condo/Apartment,1000-2000 sq. ft.,5 Occupants,Electricity,Over $200,3100
Condo/Apartment,1000-2000 sq. ft.,5 Occupants,Oil,Over $200,0
Condo/Apartment,1000-2000 sq. ft.,5 Occupants,Propane,Over $200,7400
Condo/Apartment,1000-2000 sq. ft.,5 Occupants,Wood,Over $200,4700
Condo/Apartment,Over 2000 sq. ft.,1 Occupant,Natural Gas,Under $50,2440
Condo/Apartment,Over 2000 sq. ft.,1 Occupant,Electricity,Under $50,350
Condo/Apartment,Over 2000 sq. ft.,1 Occupant,Oil,Under $50,0
Condo/Apartment,Over 2000 sq. ft.,1 Occupant,Propane,Under $50,1800
Condo/Apartment,Over 2000 sq. ft.,1 Occupant,Wood,Under $50,2300
Condo/Apartment,Over 2000 sq. ft.,1 Occupant,Natural Gas,$50-$100,2700
Condo/Apartment,Over 2000 sq. ft.,1 Occupant,Electricity,$50-$100,610
Condo/Apartment,Over 2000 sq. ft.,1 Occupant,Oil,$50-$100,0
Condo/Apartment,Over 2000 sq. ft.,1 Occupant,Propane,$50-$100,3650
Condo/Apartment,Over 2000 sq. ft.,1 Occupant,Wood,$50-$100,2600
Condo/Apartment,Over 2000 sq. ft.,1 Occupant,Natural Gas,$100-$150,3670
Condo/Apartment,Over 2000 sq. ft.,1 Occupant,Electricity,$100-$150,1500
Condo/Apartment,Over 2000 sq. ft.,1 Occupant,Oil,$100-$150,0
Condo/Apartment,Over 2000 sq. ft.,1 Occupant,Propane,$100-$150,4500
Condo/Apartment,Over 2000 sq. ft.,1 Occupant,Wood,$100-$150,3500
Condo/Apartment,Over 2000 sq. ft.,1 Occupant,Natural Gas,$150-$200,4250
Condo/Apartment,Over 2000 sq. ft.,1 Occupant,Electricity,$150-$200,2150
Condo/Apartment,Over 2000 sq. ft.,1 Occupant,Oil,$150-$200,0
Condo/Apartment,Over 2000 sq. ft.,1 Occupant,Propane,$150-$200,5000
Condo/Apartment,Over 2000 sq. ft.,1 Occupant,Wood,$150-$200,3530
Condo/Apartment,Over 2000 sq. ft.,2 Occupants,Natural Gas,Over $200,6000
Condo/Apartment,Over 2000 sq. ft.,2 Occupants,Electricity,Over $200,2600
Condo/Apartment,Over 2000 sq. ft.,2 Occupants,Oil,Over $200,0
Condo/Apartment,Over 2000 sq. ft.,2 Occupants,Propane,Over $200,6500
Condo/Apartment,Over 2000 sq. ft.,2 Occupants,Wood,Over $200,4100
Condo/Apartment,Over 2000 sq. ft.,2 Occupants,Natural Gas,Under $50,2727
Condo/Apartment,Over 2000 sq. ft.,2 Occupants,Electricity,Under $50,570
Condo/Apartment,Over 2000 sq. ft.,2 Occupants,Oil,Under $50,0
Condo/Apartment,Over 2000 sq. ft.,2 Occupants,Propane,Under $50,2100
Condo/Apartment,Over 2000 sq. ft.,2 Occupants,Wood,Under $50,2600
Condo/Apartment,Over 2000 sq. ft.,2 Occupants,Natural Gas,$50-$100,3100
Condo/Apartment,Over 2000 sq. ft.,2 Occupants,Electricity,$50-$100,690
Condo/Apartment,Over 2000 sq. ft.,2 Occupants,Oil,$50-$100,0
Condo/Apartment,Over 2000 sq. ft.,2 Occupants,Propane,$50-$100,4050
Condo/Apartment,Over 2000 sq. ft.,2 Occupants,Wood,$50-$100,2900
Condo/Apartment,Over 2000 sq. ft.,2 Occupants,Natural Gas,$100-$150,3870
Condo/Apartment,Over 2000 sq. ft.,2 Occupants,Electricity,$100-$150,1700
Condo/Apartment,Over 2000 sq. ft.,2 Occupants,Oil,$100-$150,0
Condo/Apartment,Over 2000 sq. ft.,2 Occupants,Propane,$100-$150,5000
Condo/Apartment,Over 2000 sq. ft.,2 Occupants,Wood,$100-$150,3700
Condo/Apartment,Over 2000 sq. ft.,3-4 Occupants,Natural Gas,$150-$200,5050
Condo/Apartment,Over 2000 sq. ft.,3-4 Occupants,Electricity,$150-$200,2550
Condo/Apartment,Over 2000 sq. ft.,3-4 Occupants,Oil,$150-$200,0
Condo/Apartment,Over 2000 sq. ft.,3-4 Occupants,Propane,$150-$200,5300
Condo/Apartment,Over 2000 sq. ft.,3-4 Occupants,Wood,$150-$200,3730
Condo/Apartment,Over 2000 sq. ft.,3-4 Occupants,Natural Gas,Over $200,7800
Condo/Apartment,Over 2000 sq. ft.,3-4 Occupants,Electricity,Over $200,3100
Condo/Apartment,Over 2000 sq. ft.,3-4 Occupants,Oil,Over $200,0
Condo/Apartment,Over 2000 sq. ft.,3-4 Occupants,Propane,Over $200,6800
Condo/Apartment,Over 2000 sq. ft.,3-4 Occupants,Wood,Over $200,4400
Condo/Apartment,Over 2000 sq. ft.,3-4 Occupants,Natural Gas,Under $50,3010
Condo/Apartment,Over 2000 sq. ft.,3-4 Occupants,Electricity,Under $50,900
Condo/Apartment,Over 2000 sq. ft.,3-4 Occupants,Oil,Under $50,0
Condo/Apartment,Over 2000 sq. ft.,3-4 Occupants,Propane,Under $50,2450
Condo/Apartment,Over 2000 sq. ft.,3-4 Occupants,Wood,Under $50,2900
Condo/Apartment,Over 2000 sq. ft.,3-4 Occupants,Natural Gas,$50-$100,3300
Condo/Apartment,Over 2000 sq. ft.,3-4 Occupants,Electricity,$50-$100,820
Condo/Apartment,Over 2000 sq. ft.,3-4 Occupants,Oil,$50-$100,0
Condo/Apartment,Over 2000 sq. ft.,3-4 Occupants,Propane,$50-$100,4650
Condo/Apartment,Over 2000 sq. ft.,3-4 Occupants,Wood,$50-$100,3300
Condo/Apartment,Over 2000 sq. ft.,5 Occupants,Natural Gas,$100-$150,4100
Condo/Apartment,Over 2000 sq. ft.,5 Occupants,Electricity,$100-$150,2000
Condo/Apartment,Over 2000 sq. ft.,5 Occupants,Oil,$100-$150,0
Condo/Apartment,Over 2000 sq. ft.,5 Occupants,Propane,$100-$150,5400
Condo/Apartment,Over 2000 sq. ft.,5 Occupants,Wood,$100-$150,4200
Condo/Apartment,Over 2000 sq. ft.,5 Occupants,Natural Gas,$150-$200,5400
Condo/Apartment,Over 2000 sq. ft.,5 Occupants,Electricity,$150-$200,2850
Condo/Apartment,Over 2000 sq. ft.,5 Occupants,Oil,$150-$200,0
Condo/Apartment,Over 2000 sq. ft.,5 Occupants,Propane,$150-$200,5600
Condo/Apartment,Over 2000 sq. ft.,5 Occupants,Wood,$150-$200,4200
Condo/Apartment,Over 2000 sq. ft.,5 Occupants,Natural Gas,Over $200,8500
Condo/Apartment,Over 2000 sq. ft.,5 Occupants,Electricity,Over $200,3600
Condo/Apartment,Over 2000 sq. ft.,5 Occupants,Oil,Over $200,0
Condo/Apartment,Over 2000 sq. ft.,5 Occupants,Propane,Over $200,7400
Condo/Apartment,Over 2000 sq. ft.,5 Occupants,Wood,Over $200,4900
Condo/Apartment,Over 2000 sq. ft.,5 Occupants,Natural Gas,Under $50,3577
Condo/Apartment,Over 2000 sq. ft.,5 Occupants,Electricity,Under $50,980
Condo/Apartment,Over 2000 sq. ft.,5 Occupants,Oil,Under $50,0
Condo/Apartment,Over 2000 sq. ft.,5 Occupants,Propane,Under $50,2600
Condo/Apartment,Over 2000 sq. ft.,5 Occupants,Wood,Under $50,3300
Condo/Apartment,Over 2000 sq. ft.,5 Occupants,Natural Gas,$50-$100,3600
Condo/Apartment,Over 2000 sq. ft.,5 Occupants,Electricity,$50-$100,980
Condo/Apartment,Over 2000 sq. ft.,5 Occupants,Oil,$50-$100,0
Condo/Apartment,Over 2000 sq. ft.,5 Occupants,Propane,$50-$100,5150
Condo/Apartment,Over 2000 sq. ft.,5 Occupants,Wood,$50-$100,3600
Condo/Apartment,Over 2000 sq. ft.,5 Occupants,Natural Gas,$100-$150,4300
Condo/Apartment,Over 2000 sq. ft.,5 Occupants,Electricity,$100-$150,2350
Condo/Apartment,Over 2000 sq. ft.,5 Occupants,Oil,$100-$150,0
Condo/Apartment,Over 2000 sq. ft.,5 Occupants,Propane,$100-$150,5700
Condo/Apartment,Over 2000 sq. ft.,5 Occupants,Wood,$100-$150,4600
Condo/Apartment,Over 2000 sq. ft.,5 Occupants,Natural Gas,$150-$200,6200
Condo/Apartment,Over 2000 sq. ft.,5 Occupants,Electricity,$150-$200,3150
Condo/Apartment,Over 2000 sq. ft.,5 Occupants,Oil,$150-$200,0
Condo/Apartment,Over 2000 sq. ft.,5 Occupants,Propane,$150-$200,6000
Condo/Apartment,Over 2000 sq. ft.,5 Occupants,Wood,$150-$200,4630
Condo/Apartment,Over 2000 sq. ft.,5 Occupants,Natural Gas,Over $200,11100
Condo/Apartment,Over 2000 sq. ft.,5 Occupants,Electricity,Over $200,4000
Condo/Apartment,Over 2000 sq. ft.,5 Occupants,Oil,Over $200,0
Condo/Apartment,Over 2000 sq. ft.,5 Occupants,Propane,Over $200,7800
Condo/Apartment,Over 2000 sq. ft.,5 Occupants,Wood,Over $200,5100
Other,Under 1000 sq. ft.,1 Occupant,Natural Gas,Under $50,1971
Other,Under 1000 sq. ft.,1 Occupant,Natural Gas,$50-$100,2800
Other,Under 1000 sq. ft.,1 Occupant,Natural Gas,$100-$150,3000
Other,Under 1000 sq. ft.,1 Occupant,Natural Gas,$150-$200,4000
Other,Under 1000 sq. ft.,1 Occupant,Natural Gas,Over $200,8000
Other,Under 1000 sq. ft.,1 Occupant,Electricity,Under $50,300
Other,Under 1000 sq. ft.,1 Occupant,Electricity,$50-$100,500
Other,Under 1000 sq. ft.,1 Occupant,Electricity,$100-$150,1000
Other,Under 1000 sq. ft.,1 Occupant,Electricity,$150-$200,1600
Other,Under 1000 sq. ft.,1 Occupant,Electricity,Over $200,2000
Other,Under 1000 sq. ft.,1 Occupant,Oil,Under $50,2400
Other,Under 1000 sq. ft.,1 Occupant,Oil,$50-$100,2800
Other,Under 1000 sq. ft.,1 Occupant,Oil,$100-$150,3600
Other,Under 1000 sq. ft.,1 Occupant,Oil,$150-$200,4500
Other,Under 1000 sq. ft.,1 Occupant,Oil,Over $200,5000
Other,Under 1000 sq. ft.,1 Occupant,Propane,Under $50,1500
Other,Under 1000 sq. ft.,1 Occupant,Propane,$50-$100,2500
Other,Under 1000 sq. ft.,1 Occupant,Propane,$100-$150,3000
Other,Under 1000 sq. ft.,1 Occupant,Propane,$150-$200,3700
Other,Under 1000 sq. ft.,1 Occupant,Propane,Over $200,5800
Other,Under 1000 sq. ft.,1 Occupant,Wood,Under $50,2000
Other,Under 1000 sq. ft.,1 Occupant,Wood,$50-$100,2800
Other,Under 1000 sq. ft.,1 Occupant,Wood,$100-$150,3000
Other,Under 1000 sq. ft.,1 Occupant,Wood,$150-$200,3330
Other,Under 1000 sq. ft.,1 Occupant,Wood,Over $200,3500
Other,Under 1000 sq. ft.,2 Occupants,Natural Gas,Under $50,2160
Other,Under 1000 sq. ft.,2 Occupants,Natural Gas,$50-$100,2910
Other,Under 1000 sq. ft.,2 Occupants,Natural Gas,$100-$150,3210
Other,Under 1000 sq. ft.,2 Occupants,Natural Gas,$150-$200,5500
Other,Under 1000 sq. ft.,2 Occupants,Natural Gas,Over $200,9500
Other,Under 1000 sq. ft.,2 Occupants,Electricity,Under $50,410
Other,Under 1000 sq. ft.,2 Occupants,Electricity,$50-$100,550
Other,Under 1000 sq. ft.,2 Occupants,Electricity,$100-$150,1250
Other,Under 1000 sq. ft.,2 Occupants,Electricity,$150-$200,1750
Other,Under 1000 sq. ft.,2 Occupants,Electricity,Over $200,2100
Other,Under 1000 sq. ft.,2 Occupants,Oil,Under $50,2523
Other,Under 1000 sq. ft.,2 Occupants,Oil,$50-$100,3100
Other,Under 1000 sq. ft.,2 Occupants,Oil,$100-$150,3750
Other,Under 1000 sq. ft.,2 Occupants,Oil,$150-$200,4600
Other,Under 1000 sq. ft.,2 Occupants,Oil,Over $200,5200
Other,Under 1000 sq. ft.,2 Occupants,Propane,Under $50,1850
Other,Under 1000 sq. ft.,2 Occupants,Propane,$50-$100,2800
Other,Under 1000 sq. ft.,2 Occupants,Propane,$100-$150,3500
Other,Under 1000 sq. ft.,2 Occupants,Propane,$150-$200,4500
Other,Under 1000 sq. ft.,2 Occupants,Propane,Over $200,6800
Other,Under 1000 sq. ft.,2 Occupants,Wood,Under $50,2250
Other,Under 1000 sq. ft.,2 Occupants,Wood,$50-$100,3000
Other,Under 1000 sq. ft.,2 Occupants,Wood,$100-$150,3300
Other,Under 1000 sq. ft.,2 Occupants,Wood,$150-$200,3500
Other,Under 1000 sq. ft.,2 Occupants,Wood,Over $200,3700
Other,Under 1000 sq. ft.,3-4 Occupants,Natural Gas,Under $50,2500
Other,Under 1000 sq. ft.,3-4 Occupants,Natural Gas,$50-$100,3000
Other,Under 1000 sq. ft.,3-4 Occupants,Natural Gas,$100-$150,3500
Other,Under 1000 sq. ft.,3-4 Occupants,Natural Gas,$150-$200,6200
Other,Under 1000 sq. ft.,3-4 Occupants,Natural Gas,Over $200,10200
Other,Under 1000 sq. ft.,3-4 Occupants,Electricity,Under $50,500
Other,Under 1000 sq. ft.,3-4 Occupants,Electricity,$50-$100,580
Other,Under 1000 sq. ft.,3-4 Occupants,Electricity,$100-$150,1320
Other,Under 1000 sq. ft.,3-4 Occupants,Electricity,$150-$200,1900
Other,Under 1000 sq. ft.,3-4 Occupants,Electricity,Over $200,2300
Other,Under 1000 sq. ft.,3-4 Occupants,Oil,Under $50,2600
Other,Under 1000 sq. ft.,3-4 Occupants,Oil,$50-$100,3250
Other,Under 1000 sq. ft.,3-4 Occupants,Oil,$100-$150,3900
Other,Under 1000 sq. ft.,3-4 Occupants,Oil,$150-$200,4800
Other,Under 1000 sq. ft.,3-4 Occupants,Oil,Over $200,5300
Other,Under 1000 sq. ft.,3-4 Occupants,Propane,Under $50,2100
Other,Under 1000 sq. ft.,3-4 Occupants,Propane,$50-$100,3400
Other,Under 1000 sq. ft.,3-4 Occupants,Propane,$100-$150,4100
Other,Under 1000 sq. ft.,3-4 Occupants,Propane,$150-$200,5200
Other,Under 1000 sq. ft.,3-4 Occupants,Propane,Over $200,7200
Other,Under 1000 sq. ft.,3-4 Occupants,Wood,Under $50,2500
Other,Under 1000 sq. ft.,3-4 Occupants,Wood,$50-$100,3300
Other,Under 1000 sq. ft.,3-4 Occupants,Wood,$100-$150,3520
Other,Under 1000 sq. ft.,3-4 Occupants,Wood,$150-$200,3720
Other,Under 1000 sq. ft.,3-4 Occupants,Wood,Over $200,4000
Other,Under 1000 sq. ft.,5 Occupants,Natural Gas,Under $50,2800
Other,Under 1000 sq. ft.,5 Occupants,Natural Gas,$50-$100,3200
Other,Under 1000 sq. ft.,5 Occupants,Natural Gas,$100-$150,3800
Other,Under 1000 sq. ft.,5 Occupants,Natural Gas,$150-$200,8000
Other,Under 1000 sq. ft.,5 Occupants,Natural Gas,Over $200,12000
Other,Under 1000 sq. ft.,5 Occupants,Electricity,Under $50,550
Other,Under 1000 sq. ft.,5 Occupants,Electricity,$50-$100,600
Other,Under 1000 sq. ft.,5 Occupants,Electricity,$100-$150,1420
Other,Under 1000 sq. ft.,5 Occupants,Electricity,$150-$200,2000
Other,Under 1000 sq. ft.,5 Occupants,Electricity,Over $200,3000
Other,Under 1000 sq. ft.,5 Occupants,Oil,Under $50,2720
Other,Under 1000 sq. ft.,5 Occupants,Oil,$50-$100,3500
Other,Under 1000 sq. ft.,5 Occupants,Oil,$100-$150,4050
Other,Under 1000 sq. ft.,5 Occupants,Oil,$150-$200,5100
Other,Under 1000 sq. ft.,5 Occupants,Oil,Over $200,5600
Other,Under 1000 sq. ft.,5 Occupants,Propane,Under $50,2500
Other,Under 1000 sq. ft.,5 Occupants,Propane,$50-$100,3800
Other,Under 1000 sq. ft.,5 Occupants,Propane,$100-$150,5000
Other,Under 1000 sq. ft.,5 Occupants,Propane,$150-$200,5800
Other,Under 1000 sq. ft.,5 Occupants,Propane,Over $200,7800
Other,Under 1000 sq. ft.,5 Occupants,Wood,Under $50,2600
Other,Under 1000 sq. ft.,5 Occupants,Wood,$50-$100,3400
Other,Under 1000 sq. ft.,5 Occupants,Wood,$100-$150,3800
Other,Under 1000 sq. ft.,5 Occupants,Wood,$150-$200,4000
Other,Under 1000 sq. ft.,5 Occupants,Wood,Over $200,4300
Other,1000-2000 sq. ft.,1 Occupant,Natural Gas,Under $50,2443
Other,1000-2000 sq. ft.,1 Occupant,Natural Gas,$50-$100,4000
Other,1000-2000 sq. ft.,1 Occupant,Natural Gas,$100-$150,4300
Other,1000-2000 sq. ft.,1 Occupant,Natural Gas,$150-$200,4800
Other,1000-2000 sq. ft.,1 Occupant,Natural Gas,Over $200,9500
Other,1000-2000 sq. ft.,1 Occupant,Electricity,Under $50,300
Other,1000-2000 sq. ft.,1 Occupant,Electricity,$50-$100,550
Other,1000-2000 sq. ft.,1 Occupant,Electricity,$100-$150,1200
Other,1000-2000 sq. ft.,1 Occupant,Electricity,$150-$200,1700
Other,1000-2000 sq. ft.,1 Occupant,Electricity,Over $200,2500
Other,1000-2000 sq. ft.,1 Occupant,Oil,Under $50,2590
Other,1000-2000 sq. ft.,1 Occupant,Oil,$50-$100,3800
Other,1000-2000 sq. ft.,1 Occupant,Oil,$100-$150,5000
Other,1000-2000 sq. ft.,1 Occupant,Oil,$150-$200,5350
Other,1000-2000 sq. ft.,1 Occupant,Oil,Over $200,5370
Other,1000-2000 sq. ft.,1 Occupant,Propane,Under $50,3170
Other,1000-2000 sq. ft.,1 Occupant,Propane,$50-$100,5600
Other,1000-2000 sq. ft.,1 Occupant,Propane,$100-$150,6000
Other,1000-2000 sq. ft.,1 Occupant,Propane,$150-$200,3680
Other,1000-2000 sq. ft.,1 Occupant,Propane,Over $200,6000
Other,1000-2000 sq. ft.,1 Occupant,Wood,Under $50,1400
Other,1000-2000 sq. ft.,1 Occupant,Wood,$50-$100,2400
Other,1000-2000 sq. ft.,1 Occupant,Wood,$100-$150,4000
Other,1000-2000 sq. ft.,1 Occupant,Wood,$150-$200,3800
Other,1000-2000 sq. ft.,1 Occupant,Wood,Over $200,4000
Other,1000-2000 sq. ft.,2 Occupants,Natural Gas,Under $50,2750
Other,1000-2000 sq. ft.,2 Occupants,Natural Gas,$50-$100,5000
Other,1000-2000 sq. ft.,2 Occupants,Natural Gas,$100-$150,5500
Other,1000-2000 sq. ft.,2 Occupants,Natural Gas,$150-$200,6300
Other,1000-2000 sq. ft.,2 Occupants,Natural Gas,Over $200,10100
Other,1000-2000 sq. ft.,2 Occupants,Electricity,Under $50,380
Other,1000-2000 sq. ft.,2 Occupants,Electricity,$50-$100,700
Other,1000-2000 sq. ft.,2 Occupants,Electricity,$100-$150,1350
Other,1000-2000 sq. ft.,2 Occupants,Electricity,$150-$200,1900
Other,1000-2000 sq. ft.,2 Occupants,Electricity,Over $200,2780
Other,1000-2000 sq. ft.,2 Occupants,Oil,Under $50,2620
Other,1000-2000 sq. ft.,2 Occupants,Oil,$50-$100,4320
Other,1000-2000 sq. ft.,2 Occupants,Oil,$100-$150,5800
Other,1000-2000 sq. ft.,2 Occupants,Oil,$150-$200,5500
Other,1000-2000 sq. ft.,2 Occupants,Oil,Over $200,5500
Other,1000-2000 sq. ft.,2 Occupants,Propane,Under $50,3770
Other,1000-2000 sq. ft.,2 Occupants,Propane,$50-$100,5940
Other,1000-2000 sq. ft.,2 Occupants,Propane,$100-$150,6200
Other,1000-2000 sq. ft.,2 Occupants,Propane,$150-$200,4280
Other,1000-2000 sq. ft.,2 Occupants,Propane,Over $200,6600
Other,1000-2000 sq. ft.,2 Occupants,Wood,Under $50,1560
Other,1000-2000 sq. ft.,2 Occupants,Wood,$50-$100,2600
Other,1000-2000 sq. ft.,2 Occupants,Wood,$100-$150,4310
Other,1000-2000 sq. ft.,2 Occupants,Wood,$150-$200,3800
Other,1000-2000 sq. ft.,2 Occupants,Wood,Over $200,4640
Other,1000-2000 sq. ft.,3-4 Occupants,Natural Gas,Under $50,3111
Other,1000-2000 sq. ft.,3-4 Occupants,Natural Gas,$50-$100,6500
Other,1000-2000 sq. ft.,3-4 Occupants,Natural Gas,$100-$150,6800
Other,1000-2000 sq. ft.,3-4 Occupants,Natural Gas,$150-$200,8500
Other,1000-2000 sq. ft.,3-4 Occupants,Natural Gas,Over $200,11200
Other,1000-2000 sq. ft.,3-4 Occupants,Electricity,Under $50,500
Other,1000-2000 sq. ft.,3-4 Occupants,Electricity,$50-$100,950
Other,1000-2000 sq. ft.,3-4 Occupants,Electricity,$100-$150,1520
Other,1000-2000 sq. ft.,3-4 Occupants,Electricity,$150-$200,2150
Other,1000-2000 sq. ft.,3-4 Occupants,Electricity,Over $200,3000
Other,1000-2000 sq. ft.,3-4 Occupants,Oil,Under $50,2730
Other,1000-2000 sq. ft.,3-4 Occupants,Oil,$50-$100,4800
Other,1000-2000 sq. ft.,3-4 Occupants,Oil,$100-$150,6200
Other,1000-2000 sq. ft.,3-4 Occupants,Oil,$150-$200,5720
Other,1000-2000 sq. ft.,3-4 Occupants,Oil,Over $200,5800
Other,1000-2000 sq. ft.,3-4 Occupants,Propane,Under $50,4670
Other,1000-2000 sq. ft.,3-4 Occupants,Propane,$50-$100,6140
Other,1000-2000 sq. ft.,3-4 Occupants,Propane,$100-$150,6420
Other,1000-2000 sq. ft.,3-4 Occupants,Propane,$150-$200,5180
Other,1000-2000 sq. ft.,3-4 Occupants,Propane,Over $200,6800
Other,1000-2000 sq. ft.,3-4 Occupants,Wood,Under $50,1900
Other,1000-2000 sq. ft.,3-4 Occupants,Wood,$50-$100,3300
Other,1000-2000 sq. ft.,3-4 Occupants,Wood,$100-$150,4600
Other,1000-2000 sq. ft.,3-4 Occupants,Wood,$150-$200,4220
Other,1000-2000 sq. ft.,3-4 Occupants,Wood,Over $200,5000
Other,1000-2000 sq. ft.,5 Occupants,Natural Gas,Under $50,3580
Other,1000-2000 sq. ft.,5 Occupants,Natural Gas,$50-$100,7300
Other,1000-2000 sq. ft.,5 Occupants,Natural Gas,$100-$150,8340
Other,1000-2000 sq. ft.,5 Occupants,Natural Gas,$150-$200,9000
Other,1000-2000 sq. ft.,5 Occupants,Natural Gas,Over $200,14000
Other,1000-2000 sq. ft.,5 Occupants,Electricity,Under $50,590
Other,1000-2000 sq. ft.,5 Occupants,Electricity,$50-$100,1100
Other,1000-2000 sq. ft.,5 Occupants,Electricity,$100-$150,1700
